ID,Code,Score
sp|P31946|1433B_HUMAN,0-1-0,0.9716981053352356
sp|P31946|1433B_HUMAN,1-1-0,0.9700496196746826
sp|P31946|1433B_HUMAN,0-2-0,0.9681877493858337
sp|P31946|1433B_HUMAN,2-1-0,0.9641379714012146
sp|P31946|1433B_HUMAN,1-2-0,0.9640399813652039
sp|P31946|1433B_HUMAN,0-0-0,0.9635810852050781
sp|P31946|1433B_HUMAN,20-9-16,0.9620751738548279
sp|P31946|1433B_HUMAN,1-0-0,0.9610863327980042
sp|P31946|1433B_HUMAN,20-9-17,0.9591280817985535
sp|P31946|1433B_HUMAN,0-3-0,0.9581202268600464
sp|P31946|1433B_HUMAN,21-9-17,0.9574007987976074
sp|P31946|1433B_HUMAN,21-9-16,0.9560118913650513
sp|P31946|1433B_HUMAN,2-0-0,0.9553013443946838
sp|P31946|1433B_HUMAN,20-9-15,0.9529241323471069
sp|P31946|1433B_HUMAN,20-10-16,0.9527289867401123
sp|P31946|1433B_HUMAN,0-1-1,0.9519971609115601
sp|P31946|1433B_HUMAN,19-9-16,0.9517351984977722
sp|P31946|1433B_HUMAN,2-2-0,0.9513753056526184
sp|P31946|1433B_HUMAN,21-8-17,0.9500117301940918
sp|P31946|1433B_HUMAN,21-9-18,0.9489295482635498
sp|P31946|1433B_HUMAN,1-3-0,0.9483077526092529
sp|P31946|1433B_HUMAN,20-10-17,0.94732666015625
sp|P31946|1433B_HUMAN,19-9-15,0.9471024870872498
sp|P31946|1433B_HUMAN,21-8-16,0.947011411190033
sp|P31946|1433B_HUMAN,3-1-0,0.9468480944633484
sp|P31946|1433B_HUMAN,0-0-1,0.9467780590057373
sp|P31946|1433B_HUMAN,20-8-16,0.9452953338623047
sp|P31946|1433B_HUMAN,19-10-16,0.9448300004005432
sp|P31946|1433B_HUMAN,21-10-16,0.9447839260101318
sp|P31946|1433B_HUMAN,20-9-18,0.9441075921058655
sp|P31946|1433B_HUMAN,20-10-15,0.9433075189590454
sp|P31946|1433B_HUMAN,21-10-17,0.9431403875350952
sp|P31946|1433B_HUMAN,3-0-0,0.9427250027656555
sp|P31946|1433B_HUMAN,21-8-18,0.9425378441810608
sp|P31946|1433B_HUMAN,21-9-15,0.9421073794364929
sp|P31946|1433B_HUMAN,20-8-17,0.9414203763008118
sp|P31946|1433B_HUMAN,19-9-17,0.9408395290374756
sp|P31946|1433B_HUMAN,19-10-15,0.9404239654541016
sp|P31946|1433B_HUMAN,1-1-1,0.9390819072723389
sp|P31946|1433B_HUMAN,1-0-1,0.9352235794067383
sp|P31946|1433B_HUMAN,0-4-0,0.9346402287483215
sp|P31946|1433B_HUMAN,0-0-2,0.9345365166664124
sp|P31946|1433B_HUMAN,2-3-0,0.9343860149383545
sp|P31946|1433B_HUMAN,0-14-0,0.9338768124580383
sp|P31946|1433B_HUMAN,20-8-15,0.9337873458862305
sp|P31946|1433B_HUMAN,19-10-17,0.9323391914367676
sp|P31946|1433B_HUMAN,0-13-0,0.9322117567062378
sp|P31946|1433B_HUMAN,0-15-0,0.9308021068572998
sp|P31946|1433B_HUMAN,21-8-15,0.9307752847671509
sp|P31946|1433B_HUMAN,21-10-15,0.9281940460205078
sp|P31946|1433B_HUMAN,20-10-18,0.9280976057052612
sp|P31946|1433B_HUMAN,21-10-18,0.9271895289421082
sp|P31946|1433B_HUMAN,0-2-1,0.9270049333572388
sp|P31946|1433B_HUMAN,22-8-17,0.9251464605331421
sp|P31946|1433B_HUMAN,21-9-19,0.9249840378761292
sp|P31946|1433B_HUMAN,22-9-17,0.9246498346328735
sp|P31946|1433B_HUMAN,20-8-18,0.9230575561523438
sp|P31946|1433B_HUMAN,0-16-0,0.9226874709129333
sp|P31946|1433B_HUMAN,0-12-0,0.9223750829696655
sp|P31946|1433B_HUMAN,22-9-16,0.9221081733703613
sp|P31946|1433B_HUMAN,1-4-0,0.9214053153991699
sp|P31946|1433B_HUMAN,22-8-16,0.9200242757797241
sp|P31946|1433B_HUMAN,2-1-1,0.9199086427688599
sp|P31946|1433B_HUMAN,2-0-1,0.9195114374160767
sp|P31946|1433B_HUMAN,20-9-14,0.9190475344657898
sp|P31946|1433B_HUMAN,3-2-0,0.9186145663261414
sp|P31946|1433B_HUMAN,21-8-19,0.9181922078132629
sp|P31946|1433B_HUMAN,18-9-16,0.9181785583496094
sp|P31946|1433B_HUMAN,19-8-16,0.917924165725708
sp|P31946|1433B_HUMAN,18-10-16,0.9155474305152893
sp|P31946|1433B_HUMAN,22-8-18,0.9155098795890808
sp|P31946|1433B_HUMAN,19-9-14,0.9128909111022949
sp|P31946|1433B_HUMAN,0-1-2,0.911658763885498
sp|P31946|1433B_HUMAN,19-9-18,0.9116109609603882
sp|P31946|1433B_HUMAN,22-9-18,0.9114496111869812
sp|P31946|1433B_HUMAN,18-9-15,0.9112652540206909
sp|P31946|1433B_HUMAN,18-10-15,0.9105494618415833
sp|P31946|1433B_HUMAN,1-14-0,0.9104077816009521
sp|P31946|1433B_HUMAN,1-13-0,0.9101842641830444
sp|P31946|1433B_HUMAN,20-9-19,0.9089808464050293
sp|P31946|1433B_HUMAN,19-10-14,0.908748209476471
sp|P31946|1433B_HUMAN,20-10-14,0.9085455536842346
sp|P31946|1433B_HUMAN,20-11-16,0.907966673374176
sp|P31946|1433B_HUMAN,1-2-1,0.9075289368629456
sp|P31946|1433B_HUMAN,19-8-15,0.9074479937553406
sp|P31946|1433B_HUMAN,0-17-0,0.9073143601417542
sp|P31946|1433B_HUMAN,19-8-17,0.9063241481781006
sp|P31946|1433B_HUMAN,3-3-0,0.9058652520179749
sp|P31946|1433B_HUMAN,1-0-2,0.9054390788078308
sp|P31946|1433B_HUMAN,20-11-17,0.9037386178970337
sp|P31946|1433B_HUMAN,21-7-17,0.9033188819885254
sp|P31946|1433B_HUMAN,1-15-0,0.9031172394752502
sp|P31946|1433B_HUMAN,0-11-0,0.90305495262146
sp|P31946|1433B_HUMAN,1-12-0,0.9028748273849487
sp|P31946|1433B_HUMAN,4-0-0,0.9019408226013184
sp|P31946|1433B_HUMAN,19-10-18,0.9017901420593262
sp|P31946|1433B_HUMAN,21-9-14,0.9009048342704773
sp|P31946|1433B_HUMAN,4-1-0,0.900679886341095
sp|P31946|1433B_HUMAN,18-9-17,0.8986437320709229
sp|P31946|1433B_HUMAN,19-11-16,0.8980477452278137
sp|P31946|1433B_HUMAN,22-9-15,0.8967576026916504
sp|P31946|1433B_HUMAN,0-5-0,0.8965209722518921
sp|P31946|1433B_HUMAN,21-7-16,0.8961817026138306
sp|P31946|1433B_HUMAN,18-10-17,0.8956076502799988
sp|P31946|1433B_HUMAN,2-4-0,0.8948506712913513
sp|P31946|1433B_HUMAN,22-8-15,0.8947432041168213
